text,Sentiment
مش من طبعى انى اكون حزين ومكتئب يعنى بتبقي فترات صغيره كدا وبتعدى لكن حقيقي الفتره دى اول مره احس انى مكتئب بجد ومضايق .. وربنا يهون والله ويعدي الفتره دى علي خير .,1
كم مؤلم أن تنهار من الداخل و تبقى روحاً لا تشعر و لا تُحس و تظل رغم الموت تبتسم للجميع,1
وقعدتنا ف اوضتنا لوحدنا وجع مايفهموش غير اللى جربه,1
وجع القلب عمره مايتوصف بمجرد كلام,1
"كلمتني أمي و قلت لها لا تضغطين علي مكتئبة و قالت "" أكيد ما تصلين الصلاة بوقتها و ما تقرين سورة البقرة البطلة التي لا يقوى عليها السحرة "" في هالبقعة تغرقين و تموتين بإكتئابك لوحدك أو بيخلون سببه ديني بحت.""",1
مؤلم شعور العجز الي اشعره في تحقيق اهدافي,1
تجهزت و لبست و عديت نص الطريق للجامعة و رجعت قلت للسواق رجعني البيت و انسدحت انا و ملابسي و شنطتي,1
وكأن في الروح ثقب تتسرب منه الحياة. هذا هو الاكتئاب..,1
كآبه ..,1
دايما أخاف لمن أكون مرة مكتئبة وفي القاع كلامي يأثر على أحد ويخلي يتراجع في موضوع علاجه من باب شوف دي قد إيه جربت علاجات وأدوية وطرق ولسا عالقة في الاكتئاب!,1
حقيقي تسأل بلا جواب من فين كل دا الحزن يجي! كيف الاكتئاب يولد كل دا الحزن بلا سبب! حزن أشد بمراحل من حزنك على فقد شخص قريب جداً!,1
كل اللي يقولوا لنا فاهمينك وفاهمين إيش حاسين! حقيقي منتو فاهمين حاجة! نحنا بنفسنا منا فاهمين حاجة!,1
وحتى رفع رأسي من وسادتي يُرهقني ..,1
حاسة إني أكره كل شيء في الحياة! شفتوا قد إيه كتب الآحياء مليانة تصانيف لكل شيء، مروراً بالإنسان إلى الكائنات وحيدة الخلية! وحتي العناصر في الجدول الدوري وكل شيء يتكون منها! حتى الفراغ واللاشيء!,1
لا نصحو جيدًا ولا ننام كما ينبغي، نظل في اضطراباتنا وأفكارنا المروعة تلك وبؤر أحزاننا حتى نسقط في الظلام.,1
